company_Name,domain,web server,ip_address,Host,email,,,,,,
ColdQuanta,coldquanta.com,Flywheel/5.1.0,151.101.66.159,"Fastly,",outlook,,,,,,
Contentstack,contentstack.com,Vercel,76.76.21.21,"Amazon.com,",google,,,,,,
Astera Labs,asteralabs.com,cloudflare,172.67.142.5,"Cloudflare,",outlook,,,,,,
WEKA,weka.io,,,Hetzner,google,,,,,,
Sense,sensehq.com,,34.209.167.56,"Amazon.com,",google,,,,,,
Bishop Fox,bishopfox.com,cloudflare,104.24.3.98,"Cloudflare,",outlook,,,,,,
Apiiro,apiiro.com,nginx,199.16.173.39,"Automattic,",google,,,,,,
Mysten Labs,mystenlabs.com,,199.36.158.100,"Fastly,",google,,,,,,
Ascend Elements,ascendelements.com,,,Hetzner,outlook,,,,,,
Solugen,solugen.com,cloudflare,162.159.135.42,"Cloudflare,",google,,,,,,
Orum,orumhq.com,,,Hetzner,google,,,,,,
Spot AI,spotai.co,,,Hetzner,google,,,,,,
TIFIN,tifin.com,cloudflare,172.67.134.157,"Cloudflare,",google,,,,,,
UPSIDE Foods,upsidefoods.com,cloudflare,104.18.36.75,"Cloudflare,",google,,,,,,
ISEE,isee.ai,nginx,157.230.177.67,"DigitalOcean,",google,,,,,,
Alloy,alloy.co,,,Hetzner,google,,,,,,
Xeal,xealenergy.com,Netlify,35.247.66.204,Google,google,,,,,,
Parallel Domain,paralleldomain.com,Netlify,75.2.60.5,"Amazon.com,",google,,,,,,
Enable,enable.com,,34.251.201.224,"Amazon.com,",outlook,,,,,,
Chief,chief.com,cloudflare,172.64.147.48,"Cloudflare,",google,,,,,,
Brex,brex.com,,,Hetzner,google,,,,,,
Qwick,qwick.com,,52.25.204.60,"Amazon.com,",google,,,,,,
Twelve,antennagroup.com,nginx,35.199.183.49,Google,google,,,,,,
Liquid Death,liquiddeath.com,cloudflare,23.227.38.32,"Cloudflare,",google,,,,,,
Island,island.io,,52.25.204.60,"Amazon.com,",google,,,,,,
Swiftly,swiftly.com,,52.11.45.250,"Amazon.com,",outlook,,,,,,
Cross River,crossriverbank.com,,,Hetzner,arsmtp,,,,,,
Uniswap,uniswap.org,cloudflare,104.18.22.54,"Cloudflare,",google,,,,,,
SiMa.ai,sima.ai.,,,Hetzner,,,,,,,
SirionLabs,sirionlabs.com,cloudflare,141.193.213.21,Cloudflare,outlook,,,,,,
HealthJoy,healthjoy.com,cloudflare,199.60.103.30,Cloudflare,google,,,,,,
Athletic Brewing,athleticbrewing.com,cloudflare,23.227.38.32,"Cloudflare,",google,,,,,,
Jnana Therapeutics,jnanatx.com,cloudflare,141.193.213.21,Cloudflare,mimecast,,,,,,
Canary Technologies,canarytechnologies.com,nginx,35.166.180.167,"Amazon.com,",google,,,,,,
CleverTap,clevertap.com,cloudflare,104.18.16.89,"Cloudflare,",google,,,,,,
Partake Foods,partakefoods.com,cloudflare,23.227.38.32,"Cloudflare,",google,,,,,,
Viome,viome.com,istio-envoy,3.227.27.84,"Amazon.com,",google,,,,,,
Sardine,sardine.ai,Vercel,76.76.21.9,"Amazon.com,",google,,,,,,
RoadRunner Recycling,roadrunnerwm.com,cloudflare,199.60.103.228,Cloudflare,google,,,,,,
Sepio,sepio.systems,,,Hetzner,outlook,,,,,,
Abnormal Security,abnormalsecurity.com,Vercel,76.76.21.21,"Amazon.com,",google,,,,,,
Laika,heylaika.com,,,Hetzner,google,,,,,,
CareAcademy,careacademy.com,cloudflare,141.193.213.21,Cloudflare,google,,,,,,
Owl Labs,owllabs.com,Netlify,75.2.60.5,"Amazon.com,",google,,,,,,
Mayvenn,mayvenn.com,Jetty(9.4.42.v20210604),52.6.72.206,"Amazon.com,",google,,,,,,
Hazel Health,hazel.co,,34.209.167.56,"Amazon.com,",google,,,,,,
Elemental Machines,elementalmachines.io,,,Hetzner,google,,,,,,
CrowdStreet,crowdstreet.com,cloudflare,104.21.34.162,"Cloudflare,",google,,,,,,
Syzygy Plasmonics,plasmonics.tech,Netlify,75.2.60.5,"Amazon.com,",outlook,,,,,,
Fountain,fountain.com,cloudflare,104.18.19.164,"Cloudflare,",google,,,,,,
Cognoa,cognoa.com,cloudflare,141.193.213.21,Cloudflare,outlook,,,,,,
Treez,treez.io,Vercel,76.76.21.21,"Amazon.com,",google,,,,,,
AutoLeadStar,autoleadstar.com,,,Hetzner,google,,,,,,
Tellius,tellius.com,Pagely-ARES/1.10.28,35.168.216.102,"Amazon.com,",outlook,,,,,,
Talos,talos.com,,34.209.167.56,"Amazon.com,",google,,,,,,
Hone,honehq.com,cloudflare,104.26.5.140,"Cloudflare,",google,,,,,,
Tecton,tecton.ai,cloudflare,141.193.213.11,Cloudflare,google,,,,,,
DataGrail,datagrail.io,cloudflare,141.193.213.10,Cloudflare,google,,,,,,
CG Oncology,coldgenesys.com,,,Hetzner,google,,,,,,
Glean,glean.com,,,Hetzner,google,,,,,,
Fathom Health,fathomhealth.com,,76.223.27.102,"Amazon.com,",google,,,,,,
Stairwell,stairwell.com,cloudflare,172.67.156.7,"Cloudflare,",google,,,,,,
Apploi,apploi.com,,,Hetzner,google,,,,,,
Jetti Resources,jettiresources.com,nginx,18.169.245.167,"Amazon.com,",outlook,,,,,,
Rokid,rokid.ai,cloudflare,141.193.213.10,Cloudflare,google,,,,,,
MedCrypt,medcrypt.co,,52.11.45.250,"Amazon.com,",google,,,,,,
Neocis,neocisinc.com,,,Hetzner,google,,,,,,
Front,frontapp.com,,,Hetzner,google,,,,,,
MBX Biosciences,mbxbio.com,cloudflare,162.159.134.42,"Cloudflare,",outlook,,,,,,
Biofourmis,biofourmis.com,,52.11.45.250,"Amazon.com,",outlook,,,,,,
Semperis,semperis.com,,,Hetzner,outlook,,,,,,
Emalex Biosciences,emalexbiosciences.com,Apache/2.4.56 (Debian),173.254.216.4,QuadraNet,mimecast,,,,,,
Swift Navigation,swiftnav.com,Cowboy,52.204.242.176,"Amazon.com,",google,,,,,,
ConcertAI,concertohealthai.com,,,Hetzner,outlook,,,,,,
Arcadia,arcadia.com,Netlify,34.83.23.240,Google,pphosted,,,,,,
Prime Trust,primetrust.com,Netlify,35.199.181.187,Google,google,,,,,,
Resilia,resilia.com,Squarespace,198.49.23.144,"Squarespace,",google,,,,,,
Securiti,securiti.ai,cloudflare,172.67.68.185,"Cloudflare,",google,,,,,,
Particle Health,particlehealth.com,,34.209.167.56,"Amazon.com,",google,,,,,,
Kriya Therapeutics,kriyatherapeutics.com,cloudflare,104.21.63.119,"Cloudflare,",mimecast,,,,,,
Logiwa,logiwa.com,nginx,35.199.32.25,Google,google,,,,,,
Aisera,aisera.com,cloudflare,141.193.213.10,Cloudflare,google,,,,,,
SpinLaunch,spinlaunch.com,,,Hetzner,spinlaunch,,,,,,
Pie Insurance,pieinsurance.com,cloudflare,141.193.213.10,Cloudflare,google,,,,,,
Yellow Card,yellowcard.io,cloudflare,104.18.0.88,"Cloudflare,",google,,,,,,
Firework,fireworkhq.com,,,Hetzner,google,,,,,,
Golden,golden.co,,,Hetzner,google,,,,,,
Subtle Medical,subtlemedical.com,,,Hetzner,google,,,,,,
Finexio,finexio.com,,52.25.204.60,"Amazon.com,",outlook,,,,,,
Fortanix,fortanix.com,CloudFront,18.161.6.35,"Amazon.com,",outlook,,,,,,
Infinitum Electric,infinitumelectric.com,,,Hetzner,barracudanetworks,,,,,,
JupiterOne,jupiterone.com,,34.209.167.56,"Amazon.com,",google,,,,,,
ClassDojo,classdojo.com,AmazonS3,18.161.6.99,"Amazon.com,",google,,,,,,
NeuroFlow,neuroflow.com,,,Hetzner,google,,,,,,
VUZ,360vuz.com,,,Hetzner,google,,,,,,
Astronomer,astronomer.io,Netlify,34.83.11.4,Google,google,,,,,,
Hint Health,hint.com,,,Hetzner,google,,,,,,
Zip,ziphq.com,,52.11.45.250,"Amazon.com,",google,,,,,,
Resilience,resilence.com,nginx,104.247.82.53,Team,H-email,,,,,,
SubjectWell,subjectwell.com,Flywheel/5.1.0,151.101.2.159,"Fastly,",outlook,,,,,,
Tibit Communications,tibitcom.com,nginx,35.247.81.19,Google,google,,,,,,
Alto Neuroscience,altoneuroscience.com,,34.209.167.56,"Amazon.com,",google,,,,,,
Mesh Payments,meshpayments.com,,,Hetzner,google,,,,,,
Expel,expel.com,nginx,35.173.74.67,"Amazon.com,",pphosted,,,,,,
