company_Name,domain,server,ip,organizations,,,,
ColdQuanta,coldquanta.com,Flywheel/5.1.0,151.101.66.159,Fastly,,,,
Contentstack,contentstack.com,Vercel,76.76.21.21,Amazon.com,,,,
Astera Labs,asteralabs.com,cloudflare,172.67.142.5,Cloudflare,,,,
WEKA,weka.io,,,Hetzner,Online,GmbH,,
Sense,sensehq.com,,34.209.167.56,Amazon.com,,,,
Bishop Fox,bishopfox.com,cloudflare,104.24.3.98,Cloudflare,,,,
Apiiro,apiiro.com,nginx,199.16.173.39,Automattic,,,,
Mysten Labs,mystenlabs.com,,199.36.158.100,Fastly,,,,
Ascend Elements,ascendelements.com,,,Hetzner,Online,GmbH,,
Solugen,solugen.com,cloudflare,162.159.135.42,Cloudflare,,,,
Orum,orumhq.com,,,Cloudflare,Online,GmbH,,
Spot AI,spotai.co,,,Cloudflare,Online,GmbH,,
TIFIN,tifin.com,cloudflare,172.67.134.157,Cloudflare,,,,
UPSIDE Foods,upsidefoods.com,cloudflare,104.18.36.75,Cloudflare,,,,
ISEE,isee.ai,nginx,157.230.177.67,DigitalOcean,,,,
Alloy,alloy.co,,,Hetzner,Online,GmbH,,
Xeal,xealenergy.com,Netlify,35.247.66.204,Google,LLC,,,
Parallel Domain,paralleldomain.com,Netlify,75.2.60.5,Amazon.com,,,,
Enable,enable.com,,34.251.201.224,Amazon.com,,,,
Chief,chief.com,cloudflare,172.64.147.48,Cloudflare,,,,
Brex,brex.com,,,Hetzner,Online,GmbH,,
Qwick,qwick.com,,52.25.204.60,Amazon.com,,,,
Twelve,antennagroup.com,nginx,35.199.183.49,Google,LLC,,,
Liquid Death,liquiddeath.com,cloudflare,23.227.38.32,Cloudflare,,,,
Island,island.io,,52.25.204.60,Amazon.com,,,,
Swiftly,swiftly.com,,52.11.45.250,Amazon.com,,,,
Cross River,crossriverbank.com,,,Hetzner,Online,GmbH,,
Uniswap,uniswap.org,cloudflare,104.18.22.54,Cloudflare,,,,
SiMa.ai,sima.ai.,,,Hetzner,Online,GmbH,,
SirionLabs,sirionlabs.com,cloudflare,141.193.213.21,Cloudflare,London,,,
HealthJoy,healthjoy.com,cloudflare,199.60.103.30,Cloudflare,London,,,
Athletic Brewing,athleticbrewing.com,cloudflare,23.227.38.32,Cloudflare,,,,
Jnana Therapeutics,jnanatx.com,cloudflare,141.193.213.21,Cloudflare,London,,,
