company_Name,domain,server,ip_address,organization,MX1,MX2
ColdQuanta,coldquanta.com,Flywheel/5.1.0,151.101.66.159,"AS54113 Fastly, Inc.",0 coldquanta-com.mail.protection.outlook.com.,
Contentstack,contentstack.com,Vercel,76.76.21.21,"AS16509 Amazon.com, Inc.",1 aspmx.l.google.com.,10 alt3.aspmx.l.google.com.
Astera Labs,asteralabs.com,cloudflare,172.67.142.5,"AS13335 Cloudflare, Inc.",0 asteralabs-com.mail.protection.outlook.com.,
WEKA,weka.io,,,AS24940 Hetzner Online GmbH,1 aspmx.l.google.com.,10 alt3.aspmx.l.google.com.
Sense,sensehq.com,,34.209.167.56,"AS16509 Amazon.com, Inc.",1 aspmx.l.google.com.,10 alt3.aspmx.l.google.com.
Bishop Fox,bishopfox.com,cloudflare,104.24.3.98,"AS13335 Cloudflare, Inc.",10 bishopfox-com.mail.protection.outlook.com.,
Apiiro,apiiro.com,nginx,199.16.173.39,"AS2635 Automattic, Inc",10 aspmx.l.google.com.,20 alt1.aspmx.l.google.com.
Mysten Labs,mystenlabs.com,,199.36.158.100,"AS54113 Fastly, Inc.",1 aspmx.l.google.com.,10 alt3.aspmx.l.google.com.
Ascend Elements,ascendelements.com,,,AS24940 Hetzner Online GmbH,0 ascendelements-com.mail.protection.outlook.com.,
Solugen,solugen.com,cloudflare,162.159.135.42,"AS13335 Cloudflare, Inc.",1 aspmx.l.google.com.,10 aspmx2.googlemail.com.
Orum,orumhq.com,,,AS24940 Hetzner Online GmbH,1 aspmx.l.google.com.,10 aspmx2.googlemail.com.
Spot AI,spotai.co,,,AS24940 Hetzner Online GmbH,1 aspmx.l.google.com.,10 alt3.aspmx.l.google.com.
TIFIN,tifin.com,cloudflare,172.67.134.157,"AS13335 Cloudflare, Inc.",1 aspmx.l.google.com.,10 alt3.aspmx.l.google.com.
UPSIDE Foods,upsidefoods.com,cloudflare,104.18.36.75,"AS13335 Cloudflare, Inc.",1 aspmx.l.google.com.,10 alt3.aspmx.l.google.com.
ISEE,isee.ai,nginx,157.230.177.67,"AS14061 DigitalOcean, LLC",10 aspmx.l.google.com.,20 alt1.aspmx.l.google.com.
Alloy,alloy.co,,,AS24940 Hetzner Online GmbH,1 aspmx.l.google.com.,10 alt3.aspmx.l.google.com.
Xeal,xealenergy.com,Netlify,35.247.66.204,AS396982 Google LLC,1 aspmx.l.google.com.,10 alt3.aspmx.l.google.com.
Parallel Domain,paralleldomain.com,Netlify,75.2.60.5,"AS16509 Amazon.com, Inc.",1 aspmx.l.google.com.,10 alt3.aspmx.l.google.com.
Enable,enable.com,,34.251.201.224,"AS16509 Amazon.com, Inc.",10 enable-com.mail.protection.outlook.com.,20 enable-com.mail.protection.outlook.com.
Chief,chief.com,cloudflare,172.64.147.48,"AS13335 Cloudflare, Inc.",1 aspmx.l.google.com.,10 aspmx2.googlemail.com.
Brex,brex.com,,,AS24940 Hetzner Online GmbH,1 aspmx.l.google.com.,10 aspmx2.googlemail.com.
Qwick,qwick.com,,52.25.204.60,"AS16509 Amazon.com, Inc.",1 aspmx.l.google.com.,10 alt3.aspmx.l.google.com.
Twelve,antennagroup.com,nginx,35.199.183.49,AS396982 Google LLC,1 aspmx.l.google.com.,10 alt1.aspmx.l.google.com.
Liquid Death,liquiddeath.com,cloudflare,23.227.38.32,"AS13335 Cloudflare, Inc.",1 aspmx.l.google.com.,10 alt3.aspmx.l.google.com.
Island,island.io,,52.25.204.60,"AS16509 Amazon.com, Inc.",1 aspmx.l.google.com.,10 alt3.aspmx.l.google.com.
Swiftly,swiftly.com,,52.11.45.250,"AS16509 Amazon.com, Inc.",0 swiftly-com.mail.protection.outlook.com.,
Cross River,crossriverbank.com,,,AS24940 Hetzner Online GmbH,10 crossriverbank-com.mx1.arsmtp.com.,20 crossriverbank-com.mx2.arsmtp.com.
Uniswap,uniswap.org,cloudflare,104.18.22.54,"AS13335 Cloudflare, Inc.",1 aspmx.l.google.com.,10 aspmx2.googlemail.com.
SiMa.ai,sima.ai.,,,AS24940 Hetzner Online GmbH,,
SirionLabs,sirionlabs.com,cloudflare,141.193.213.21,"AS209242 Cloudflare London, LLC",0 sirionlabs-com.mail.protection.outlook.com.,
HealthJoy,healthjoy.com,cloudflare,199.60.103.30,"AS209242 Cloudflare London, LLC",1 aspmx.l.google.com.,10 alt3.aspmx.l.google.com.
Athletic Brewing,athleticbrewing.com,cloudflare,23.227.38.32,"AS13335 Cloudflare, Inc.",1 aspmx.l.google.com.,10 aspmx2.googlemail.com.
Jnana Therapeutics,jnanatx.com,cloudflare,141.193.213.21,"AS209242 Cloudflare London, LLC",10 us-smtp-inbound-1.mimecast.com.,10 us-smtp-inbound-2.mimecast.com.
Canary Technologies,canarytechnologies.com,nginx,35.166.180.167,"AS16509 Amazon.com, Inc.",1 aspmx.l.google.com.,10 alt3.aspmx.l.google.com.
CleverTap,clevertap.com,cloudflare,104.18.16.89,"AS13335 Cloudflare, Inc.",1 aspmx.l.google.com.,10 aspmx2.googlemail.com.
Partake Foods,partakefoods.com,cloudflare,23.227.38.32,"AS13335 Cloudflare, Inc.",0 alt1.aspmx.l.google.com.,10 aspmx.l.google.com.
Viome,viome.com,istio-envoy,3.227.27.84,"AS14618 Amazon.com, Inc.",1 aspmx.l.google.com.,10 aspmx2.googlemail.com.
Sardine,sardine.ai,Vercel,76.76.21.9,"AS16509 Amazon.com, Inc.",1 aspmx.l.google.com.,10 aspmx2.googlemail.com.
RoadRunner Recycling,roadrunnerwm.com,cloudflare,199.60.103.228,"AS209242 Cloudflare London, LLC",1 aspmx.l.google.com.,10 aspmx2.googlemail.com.
Sepio,sepio.systems,,,AS24940 Hetzner Online GmbH,0 sepio-systems.mail.protection.outlook.com.,
Abnormal Security,abnormalsecurity.com,Vercel,76.76.21.21,"AS16509 Amazon.com, Inc.",1 aspmx.l.google.com.,10 alt3.aspmx.l.google.com.
Laika,heylaika.com,,,AS24940 Hetzner Online GmbH,1 aspmx.l.google.com.,10 alt3.aspmx.l.google.com.
CareAcademy,careacademy.com,cloudflare,141.193.213.21,"AS209242 Cloudflare London, LLC",0 aspmx.l.google.com.,10 alt3.aspmx.l.google.com.
Owl Labs,owllabs.com,Netlify,75.2.60.5,"AS16509 Amazon.com, Inc.",1 aspmx.l.google.com.,10 aspmx2.googlemail.com.
Mayvenn,mayvenn.com,Jetty(9.4.42.v20210604),52.6.72.206,"AS14618 Amazon.com, Inc.",1 aspmx.l.google.com.,10 alt3.aspmx.l.google.com.
Hazel Health,hazel.co,,34.209.167.56,"AS16509 Amazon.com, Inc.",10 aspmx.l.google.com.,20 alt1.aspmx.l.google.com.
